Belmullet,Valentia Observatory,Dublin airport,Malin head,Mullingar,Shannon airport,Year,Month,Total
224.8,272.9,124.6,180.8,180.0,181.4,1985,Aug,194.08333333333334
205.5,117.7,38.2,218.9,107.1,69.1,1985,Sep,126.08333333333333
70.1,94.6,19.7,30.4,66.9,53.3,1985,Oct,55.833333333333336
87.7,168.3,33.5,74.8,55.9,46.9,1985,Nov,77.85
152.2,164.5,72.4,90.1,106.3,90.7,1985,Dec,112.7
124.7,161.4,103.4,182.7,106.8,137.9,1986,Jan,136.15
4.2,20.1,10.2,9.9,9.3,0.8,1986,Feb,9.083333333333334
163.1,182.1,64.7,123.5,99.5,128.8,1986,Mar,126.95
96.0,77.3,48.2,69.6,75.8,56.4,1986,Apr,70.55
150.9,182.4,62.5,98.9,115.5,106.4,1986,May,119.43333333333334
95.6,56.6,82.1,42.1,98.7,91.5,1986,Jun,77.76666666666667
93.5,98.5,57.5,76.2,71.6,40.8,1986,July,73.01666666666667
114.7,205.9,158.7,83.9,162.7,113.7,1986,Aug,139.93333333333337
24.8,13.4,3.6,29.3,3.6,10.0,1986,Sep,14.116666666666667
169.3,127.3,57.0,89.2,101.6,96.4,1986,Oct,106.8
180.3,196.7,102.2,137.8,112.2,109.0,1986,Nov,139.70000000000002
226.7,247.9,71.8,218.9,124.3,155.9,1986,Dec,174.25
57.8,78.3,36.6,38.1,33.6,39.0,1987,Jan,47.23333333333333
70.1,141.8,34.5,73.6,48.2,52.6,1987,Feb,70.13333333333334
117.1,127.5,56.6,100.2,93.5,69.6,1987,Mar,94.08333333333333
50.6,49.5,71.8,40.1,48.2,53.7,1987,Apr,52.31666666666666
41.8,10.3,21.7,45.6,28.8,20.9,1987,May,28.183333333333337
81.5,121.3,112.5,74.8,130.2,109.2,1987,Jun,104.91666666666667
97.6,58.5,32.6,121.6,41.6,41.7,1987,July,65.6
101.2,65.7,87.4,82.1,73.4,37.7,1987,Aug,74.58333333333333
